0
4hrs carrageenan
baseline
baseline meloxicam
4hrs carrageenan
baseline
24hrs meloxicam
baseline
24hrs meloxicam
24hrs meloxicam
24hrs saline
baseline
4hrs carrageenan
baseline
baseline meloxicam
baseline
4hrs carrageenan
baseline
4hrs carrageenan
baseline
24hrs saline
24hrs saline
baseline
4hrs carrageenan
baseline
24hrs saline
24hrs meloxicam
baseline meloxicam
baseline meloxicam
24hrs meloxicam
baseline
4hrs carrageenan
baseline
24hrs saline
24hrs meloxicam
baseline
24hrs saline
24hrs saline
baseline
baseline
baseline meloxicam
24hrs meloxicam
baseline meloxicam
baseline
baseline
24hrs saline
4hrs carrageenan
4hrs carrageenan
24hrs saline
baseline
baseline
4hrs carrageenan
4hrs carrageenan
24hrs meloxicam
24hrs meloxicam
baseline
baseline
baseline meloxicam
4hrs carrageenan
baseline
4hrs carrageenan
baseline meloxicam
baseline
4hrs carrageenan
4hrs carrageenan
baseline meloxicam
24hrs meloxicam
baseline
4hrs carrageenan
24hrs saline
baseline
baseline
4hrs carrageenan
4hrs carrageenan
baseline
baseline
baseline meloxicam
4hrs carrageenan
4hrs carrageenan
baseline
baseline
